#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	food_origin	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000004572.2|SAMD00060934|GCA_000009885.1|Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044||NTUH-K2044|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000009885.1	Complete Genome	5248520	5472672	2	NULL	Generic	PRJDA21069	National Health Research Institutes	SAMD00060934	"AP006725-AP006726","NTUH-K2044"	NULL	NULL	NULL	10688	NULL	NULL	NULL	isolated from blood of a patient with liver abscess and meningitis	NULL	NULL	NULL	NULL	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	NULL	NULL	573	NULL	NULL	NTUH-K2044	NULL	NULL	NULL	PDT000004572.2	2011-02-17	484021	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"blaSHV-11,emrD,fosA,oqxA,oqxB19"	"blaSHV-11,fosA,oqxA,oqxB19"	21	"arsC=HMM,asr=HMM,fieF,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS,terA,terB,terC,terD,terE"	15	"iroB,iroC,iroD,iroN,iucA,iucB,iucC,iutA,peg-344,rmpA,rmpC,rmpD,rmpD=PARTIAL,ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000004848.2|SAMN02603941|GCA_000016305.1|Klebsiella pneumoniae subsp. pneumoniae MGH 78578||ATCC 700721; MGH 78578|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000016305.1	Complete Genome	5315120	5694894	6	NULL	Generic	PRJNA31	The Klebsiella pneumoniae Genome Sequencing Project	SAMN02603941	"ATCC 700721; MGH 78578","CP000647"	NULL	NULL	NULL	17108	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000647	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	NULL	NULL	573	NULL	NULL	ATCC 700721; MGH 78578	NULL	NULL	NULL	PDT000004848.2	2010-05-12	272620	NULL	NULL	NULL	NULL	NULL	0	0	0	0	22	21	NULL	"aac(6')-Ib,aadA1,ant(2'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaOXA=MISTRANSLATION,blaSHV-11,blaSHV-12,blaTEM-1,catA1,cmlA5,dfrA4,emrD,fosA,gyrA_S83Y=POINT,ompK35_K292QfsTer17=POINT,oqxA,oqxB,sul1,sul2,tet(D)"	"aac(6')-Ib,aadA1,ant(2'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaOXA=MISTRANSLATION,blaSHV-11,blaSHV-12,blaTEM-1,catA1,cmlA5,dfrA4,fosA,gyrA_S83Y=POINT,ompK35_K292QfsTer17=POINT,oqxA,oqxB,sul1,sul2,tet(D)"	30	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,clpK,fieF,hsp20,merA=HMM,merC,merD=HMM,merE=HMM,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS=PARTIAL,qacEdelta1,silA=PARTIAL,silB,silC,silE,silF,silP,silR,silS"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000004989.2|SAMN02603449|GCA_000019565.1|Klebsiella variicola||342|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000019565.1	Complete Genome	5641239	5920257	3	NULL	Generic	PRJNA28471	J. Craig Venter Institute	SAMN02603449	"342","CP000964"	NULL	NULL	NULL	20368	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP000964	Klebsiella variicola	NULL	NULL	244366	NULL	NULL	342	NULL	NULL	NULL	PDT000004989.2	2010-05-12	244366	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	6	NULL	"blaLEN-28,emrD,fosA,oqxA,oqxB,oqxR_D95E=POINT,oqxR_V113I=POINT"	"blaLEN-28,fosA,oqxA,oqxB,oqxR_D95E=POINT,oqxR_V113I=POINT"	13	"arsA,arsB,arsC,arsC=HMM,arsD,arsR,asr=HMM,fieF,terA,terB,terC,terD,terE"	0	NULL	4.2.7	2026-03-24.1	COMBINED	1
PDT000005311.2|SAMN02598515|GCA_000025465.1|Klebsiella variicola At-22||At-22|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000025465.1	Complete Genome	5458505	5458505	1	NULL	Generic	PRJNA37701	US DOE Joint Genome Institute	SAMN02598515	"At-22","CP001891","SRS1566052"	NULL	NULL	NULL	26268	NULL	NULL	NULL	Atta cephalotes fungus garden	NULL	NULL	NULL	CP001891	Klebsiella variicola At-22	NULL	NULL	244366	NULL	NULL	At-22	NULL	NULL	NULL	PDT000005311.2	2010-05-12	640131	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	6	NULL	"blaLEN-13,emrD,fosA,oqxA,oqxB9,oqxR_D95E=POINT,oqxR_V113I=POINT"	"blaLEN-13,fosA,oqxA,oqxB9,oqxR_D95E=POINT,oqxR_V113I=POINT"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000005854.2|SAMN02463808|GCA_000163075.1|Klebsiella variicola||1_1_55|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000163075.1	Scaffold	110877	5459739	96	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA40049	Broad Institute	SAMN02463808	"1_1_55","40049","SRS4768300"	NULL	missing	clinical	196858	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	40049	Klebsiella variicola	NULL	NULL	244366	NULL	NULL	1_1_55	NULL	"Klebsiella sp. 1_1_55"	NULL	PDT000005854.2	2010-10-15	244366	ACXA	ACXA00000000.1	NULL	NULL	NULL	0	0	0	0	8	7	NULL	"blaLEN-27,cirA_I159NfsTer79=POINT,emrD,fosA,oqxA,oqxB,oqxR_D95E=POINT,oqxR_V113I=POINT"	"blaLEN-27,cirA_I159NfsTer79=POINT,fosA,oqxA,oqxB,oqxR_D95E=POINT,oqxR_V113I=POINT"	3	"arsC=HMM,asr=HMM,fieF"	0	NULL	4.2.7	2026-01-21.1	COMBINED	1
PDT000005869.2|SAMN00120581|GCA_000163455.1|Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884||ATCC 13884|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000163455.1	Scaffold	42720	5450034	264	NULL	MIGS Cultured Bacterial/Archaeal	PRJNA40083	Baylor College of Medicine	SAMN00120581	"ATCC 13884","ATCC:13884","SRS121482"	NULL	missing	clinical	197618	not determined	Homo sapiens	NULL	NULL	not determined	NULL	NULL	NULL	Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884	NULL	NULL	573	NULL	NULL	ATCC 13884	NULL	"Klebsiella pneumoniae rhinoscleromatis ATCC 13884"	NULL	PDT000005869.2	2010-10-15	667127	ACZD	ACZD00000000.1	NULL	NULL	NULL	0	0	0	0	7	6	NULL	"blaSHV-206,cirA_W163Ter=POINT,emrD,fosA,oqxA,oqxB,tet(C)=PARTIAL_END_OF_CONTIG"	"blaSHV-206,cirA_W163Ter=POINT,fosA,oqxA,oqxB,tet(C)=PARTIAL_END_OF_CONTIG"	3	"arsC=HMM,asr=HMM,fieF"	9	"iroC=MISTRANSLATION,iroD=PARTIAL,iucA,iutA,peg-344,rmpA,rmpC,ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
PDT000006994.2|SAMN02603581|GCA_000215745.1|Klebsiella aerogenes KCTC 2190||KCTC 2190|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000215745.1	Complete Genome	5280350	5280350	1	NULL	Generic	PRJNA66537	Macrogen Inc.	SAMN02603581	"CP002824","KCTC 2190","SRS29492364"	NULL	NULL	NULL	286498	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP002824	Klebsiella aerogenes KCTC 2190	NULL	NULL	548	NULL	NULL	KCTC 2190	NULL	NULL	NULL	PDT000006994.2	2011-06-03	1028307	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	5	NULL	"ampC-Kaer,emrD,fosA,gyrA_S83T=POINT,oqxA,oqxB"	"ampC-Kaer,fosA,gyrA_S83T=POINT,oqxA,oqxB"	3	"arsC=HMM,asr=HMM,fieF"	3	"iroB,iroC,iroN"	4.2.7	2026-03-24.1	COMBINED	1
PDT000007400.2|SAMN02602959|GCA_000240185.2|Klebsiella pneumoniae subsp. pneumoniae HS11286||HS11286|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000240185.2	Complete Genome	5333942	5682322	7	NULL	Generic	PRJNA78789	Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University	SAMN02602959	"CP003200","HS11286"	NULL	NULL	NULL	325648	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP003200	Klebsiella pneumoniae subsp. pneumoniae HS11286	NULL	NULL	573	NULL	NULL	HS11286	NULL	NULL	NULL	PDT000007400.2	2012-01-04	1125630	NULL	NULL	NULL	NULL	NULL	0	0	0	0	21	20	NULL	"aac(3)-IId=PARTIAL,aadA2,aph(3'')-Ib,aph(6)-Id,blaCTX-M-14,blaKPC-2,blaSHV-11,blaTEM-1,cirA_N467MfsTer15=POINT,dfrA12=PARTIAL,dfrA50,emrD,floR2,fosA,gyrA_S83I=POINT,ompK35_G134AfsTer11=POINT,parC_S80I=POINT,rmtB1,sul1=PARTIAL,sul2,tet(G)"	"aac(3)-IId=PARTIAL,aadA2,aph(3'')-Ib,aph(6)-Id,blaCTX-M-14,blaKPC-2,blaSHV-11,blaTEM-1,cirA_N467MfsTer15=POINT,dfrA12=PARTIAL,dfrA50,floR2,fosA,gyrA_S83I=POINT,ompK35_G134AfsTer11=POINT,parC_S80I=POINT,rmtB1,sul1=PARTIAL,sul2,tet(G)"	6	"fieF,merC,merP,merR,merT,qacEdelta1"	2	"ybtP,ybtQ"	4.2.7	2026-01-21.1	NUCLEOTIDE	1
PDT000007646.2|SAMN02603582|GCA_000220485.1|Klebsiella pneumoniae KCTC 2242||KCTC 2242|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000220485.1	Complete Genome	5259571	5462423	2	NULL	Generic	PRJNA67293	Macrogen Inc.	SAMN02603582	"CP002910","KCTC 2242","KCTC:2242"	NULL	NULL	NULL	294398	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP002910	Klebsiella pneumoniae KCTC 2242	NULL	NULL	573	NULL	NULL	KCTC 2242	NULL	NULL	NULL	PDT000007646.2	2011-07-12	1049565	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"blaSHV-1,emrD,fosA,oqxA10,oqxB17"	"blaSHV-1,fosA,oqxA10,oqxB17"	17	"arsC=HMM,asr=HMM,crcB,fieF,pcoA=MISTRANSLATION,pcoB,pcoC,pcoD=PARTIAL,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS"	12	"iroB,iroC,iroD,iroN,iucA,iucB,iucC,iutA,peg-344,rmpA,rmpC,rmpD"	4.2.7	2026-01-21.1	COMBINED	1
PDT000008097.2|SAMN02603641|GCA_000294365.1|Klebsiella pneumoniae subsp. pneumoniae 1084||1084|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_000294365.1	Complete Genome	5386705	5386705	1	NULL	Generic	PRJNA167369	National Chung Hsing University	SAMN02603641	"1084","CP003785"	NULL	NULL	NULL	419308	NULL	NULL	NULL	NULL	NULL	NULL	NULL	CP003785	Klebsiella pneumoniae subsp. pneumoniae 1084	NULL	NULL	573	NULL	NULL	1084	NULL	NULL	NULL	PDT000008097.2	2012-08-29	1193292	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	4	NULL	"blaSHV-11,emrD,fosA,oqxA,oqxB19"	"blaSHV-11,fosA,oqxA,oqxB19"	3	"arsC=HMM,asr=HMM,fieF"	5	"clbB,clbN,mchF,ybtP,ybtQ"	4.2.7	2026-01-21.1	COMBINED	1
